,Unnamed: 0,id,producer,title,tracks,type,associated_labels,name,bit_rate,composer,duration,genre_top,genres,genres_all,license,number,tags.2,title.1
452,11,1883.0,,'Percussion' As Percussion,16.0,Album,,Jarrod Fowler,256000.0,,16.0,Experimental,[32],"[32, 38]",Creative Commons Attribution,10.0,[],Works Cited
453,12,1883.0,,'Percussion' As Percussion,16.0,Album,,Jarrod Fowler,256000.0,,10.0,Experimental,[32],"[32, 38]",Creative Commons Attribution,8.0,[],A Drum of One's Own
454,13,1883.0,,'Percussion' As Percussion,16.0,Album,,Jarrod Fowler,256000.0,,300.0,Experimental,[32],"[32, 38]",Creative Commons Attribution,2.0,[],Preface
455,14,1883.0,,'Percussion' As Percussion,16.0,Album,,Jarrod Fowler,256000.0,,5.0,Experimental,[32],"[32, 38]",Creative Commons Attribution,1.0,[],Acknowledgements
502,15,2100.0,Brian Turner,Live at WFMU on Brian Turner's Show on 4/10/2007 (w/ Sikhara),2.0,Radio Program,"CIP, Cold Spring, Die Stadt, Soleilmoon, Tzadik Records, Subterranean, Touch Records, Spettro Records",Z'EV,256000.0,,2213.0,Experimental,"[1, 38]","[1, 38]",Public Domain,0.0,[],(full set)
519,16,2124.0,,w00t,3.0,Album,,Bob Ostertag,160000.0,,3018.0,Experimental,"[1, 38]","[1, 38]",Creative Commons Attribution,1.0,[],w00t
794,17,2469.0,,Beethoven's Sonata No. 1 In F Minor,4.0,Album,,Daniel Veesey,320000.0,Ludwig van Beethoven,322.0,Classical,[5],[5],Public Domain,1.0,[],"Sonata No. 1 in F Minor, Op. 2 No. 1 - I. Allegro"
795,18,2469.0,,Beethoven's Sonata No. 1 In F Minor,4.0,Album,,Daniel Veesey,320000.0,Ludwig van Beethoven,340.0,Classical,[5],[5],Public Domain,2.0,[],"Sonata No. 1 in F Minor, Op. 2 No. 1 - II. Adagio"
796,19,2469.0,,Beethoven's Sonata No. 1 In F Minor,4.0,Album,,Daniel Veesey,320000.0,Ludwig van Beethoven,181.0,Classical,[5],[5],Public Domain,3.0,[],"Sonata No. 1 in F Minor, Op. 2 No. 1 - III. Menuetto Allegretto"
797,20,2469.0,,Beethoven's Sonata No. 1 In F Minor,4.0,Album,,Daniel Veesey,320000.0,Ludwig van Beethoven,446.0,Classical,[5],[5],Public Domain,4.0,[],"Sonata No. 1 in F Minor, Op. 2 No. 1 - IV. Prestissimo"
798,21,2470.0,,Beethoven's Sonata No. 32 in C Minor,2.0,Album,,Daniel Veesey,320000.0,,553.0,Classical,[5],[5],Public Domain,1.0,[],"Sonata No. 32 in C Minor, Op. 111 - I. Maestoso - Allegro con brio ed appassionato"
799,22,2470.0,,Beethoven's Sonata No. 32 in C Minor,2.0,Album,,Daniel Veesey,320000.0,,1179.0,Classical,[5],[5],Public Domain,2.0,[],"Sonata No. 32 in C Minor, Op. 111 - II. Arietta Adagio molto semplice e cantabile"
800,23,2471.0,,Mussorgsky's Pictures at an Exhibition,15.0,Album,,Skidmore College Orchestra,256000.0,Modest Mussorgsky,101.0,Classical,[5],[5],Public Domain,1.0,[],Promenade Allegro giusto nel modo russico senza allegrezza ma
801,24,2471.0,,Mussorgsky's Pictures at an Exhibition,15.0,Album,,Skidmore College Orchestra,256000.0,Modest Mussorgsky,163.0,Classical,[5],[5],Public Domain,2.0,[],I. Gnomus Vivo
802,25,2471.0,,Mussorgsky's Pictures at an Exhibition,15.0,Album,,Skidmore College Orchestra,256000.0,Modest Mussorgsky,58.0,Classical,[5],[5],Public Domain,3.0,[],Promenade Moderato comodo e con delicatezza
803,26,2471.0,,Mussorgsky's Pictures at an Exhibition,15.0,Album,,Skidmore College Orchestra,256000.0,Modest Mussorgsky,286.0,Classical,[5],[5],Public Domain,4.0,[],II. Il vecchio castello Andante
804,27,2471.0,,Mussorgsky's Pictures at an Exhibition,15.0,Album,,Skidmore College Orchestra,256000.0,Modest Mussorgsky,31.0,Classical,[5],[5],Public Domain,5.0,[],Promenade Moderato non tanto pesante
805,28,2471.0,,Mussorgsky's Pictures at an Exhibition,15.0,Album,,Skidmore College Orchestra,256000.0,Modest Mussorgsky,63.0,Classical,[5],[5],Public Domain,6.0,[],III. Tuileries Allegretto non troppo capriccioso
806,29,2471.0,,Mussorgsky's Pictures at an Exhibition,15.0,Album,,Skidmore College Orchestra,256000.0,Modest Mussorgsky,140.0,Classical,[5],[5],Public Domain,7.0,[],IV. Bydlo Sempre moderato pesante
807,30,2471.0,,Mussorgsky's Pictures at an Exhibition,15.0,Album,,Skidmore College Orchestra,256000.0,Modest Mussorgsky,42.0,Classical,[5],[5],Public Domain,8.0,[],Promenade Tranquillo
808,31,2471.0,,Mussorgsky's Pictures at an Exhibition,15.0,Album,,Skidmore College Orchestra,256000.0,Modest Mussorgsky,80.0,Classical,[5],[5],Public Domain,9.0,[],V. Ballet des poussins dans leurs coques Scherzino. Vivo leggiero
809,32,2471.0,,Mussorgsky's Pictures at an Exhibition,15.0,Album,,Skidmore College Orchestra,256000.0,Modest Mussorgsky,130.0,Classical,[5],[5],Public Domain,10.0,[],VI. Samuel Goldenberg and Schmuyle Andante
810,33,2471.0,,Mussorgsky's Pictures at an Exhibition,15.0,Album,,Skidmore College Orchestra,256000.0,Modest Mussorgsky,100.0,Classical,[5],[5],Public Domain,11.0,[],VII. Limoges. Le March? Allegretto vivo sempre scherzando
811,34,2471.0,,Mussorgsky's Pictures at an Exhibition,15.0,Album,,Skidmore College Orchestra,256000.0,Modest Mussorgsky,113.0,Classical,[5],[5],Public Domain,12.0,[],VIII. Catacombae. Sepulcrum romanum Largo
812,35,2471.0,,Mussorgsky's Pictures at an Exhibition,15.0,Album,,Skidmore College Orchestra,256000.0,Modest Mussorgsky,112.0,Classical,[5],[5],Public Domain,13.0,[],Cum mortuis in lingua mortua Andante non troppo con lamento
813,36,2471.0,,Mussorgsky's Pictures at an Exhibition,15.0,Album,,Skidmore College Orchestra,256000.0,Modest Mussorgsky,212.0,Classical,[5],[5],Public Domain,14.0,[],IX. La Cabane sur des pattes de poule Allegro con brio feroce An
814,37,2471.0,,Mussorgsky's Pictures at an Exhibition,15.0,Album,,Skidmore College Orchestra,256000.0,Modest Mussorgsky,329.0,Classical,[5],[5],Public Domain,15.0,[],X. La grande porte de Kiev Allegro alla breve. Maestoso. Con gran
857,38,2645.0,,2005 Stayin Alive InstruMentals,7.0,Album,,BOPD,192000.0,,176.0,Hip-Hop,[21],[21],Creative Commons Attribution,0.0,[],6.6.05
858,39,2645.0,,2005 Stayin Alive InstruMentals,7.0,Album,,BOPD,192000.0,,214.0,Hip-Hop,[21],[21],Creative Commons Attribution,0.0,[],aint no thing
859,40,2645.0,,2005 Stayin Alive InstruMentals,7.0,Album,,BOPD,192000.0,,110.0,Hip-Hop,[21],[21],Creative Commons Attribution,0.0,[],2.17.05
860,41,2645.0,,2005 Stayin Alive InstruMentals,7.0,Album,,BOPD,192000.0,,109.0,Hip-Hop,[21],[21],Creative Commons Attribution,0.0,[],2.18.05 dai
861,42,2645.0,,2005 Stayin Alive InstruMentals,7.0,Album,,BOPD,192000.0,,235.0,Hip-Hop,[21],[21],Creative Commons Attribution,0.0,[],1.26 beat1
862,43,2645.0,,2005 Stayin Alive InstruMentals,7.0,Album,,BOPD,192000.0,,172.0,Hip-Hop,[21],[21],Creative Commons Attribution,0.0,[],2.12.05 elevator
863,44,2645.0,,2005 Stayin Alive InstruMentals,7.0,Album,,BOPD,192000.0,,114.0,Hip-Hop,[21],[21],Creative Commons Attribution,0.0,[],2.2.05
932,45,2749.0,,netBloc Vol. 20: music to accompany the world traveller,10.0,Album,,Music Komite,320000.0,,171.0,Electronic,[236],"[236, 15]",Creative Commons Attribution,9.0,[],Elles
946,46,2807.0,,Muzio Clementi's Sonatina No. 2 in G Major,0.0,,,Aaron Dunn,320000.0,,145.0,Classical,[5],[5],Public Domain,0.0,[],Sonatina No. 2 in G Major  - III. Allegro
947,47,2809.0,,"Bach's Aria, Goldberg Variations, BWV. 988",0.0,,,Aaron Dunn,320000.0,,145.0,Classical,[5],[5],Public Domain,0.0,['contrapuntus'],"Goldberg Variations, BWV. 988 - Aria"
948,48,2806.0,,Sonata No. 1,0.0,,,Aaron Dunn,256000.0,,165.0,Classical,[5],[5],Public Domain,0.0,[],Sonata No. 1 - Movement 1
949,49,2806.0,,Sonata No. 1,0.0,,,Aaron Dunn,256000.0,,163.0,Classical,[5],[5],Public Domain,0.0,[],Sonata No. 1 - Movement 2
950,50,2805.0,,Muzio Clementi's Sonatina No. 1 in C Major,0.0,,,Aaron Dunn,320000.0,,96.0,Classical,[5],[5],Public Domain,0.0,[],Sonatina No. 1 in C Major - I. Allegro
951,51,2805.0,,Muzio Clementi's Sonatina No. 1 in C Major,0.0,,,Aaron Dunn,320000.0,,97.0,Classical,[5],[5],Public Domain,0.0,[],Sonatina No. 1 in C Major - II. Andante
952,52,2805.0,,Muzio Clementi's Sonatina No. 1 in C Major,0.0,,,Aaron Dunn,320000.0,,73.0,Classical,[5],[5],Public Domain,0.0,[],Sonatina No. 1 in C Major - III. Vivace
953,53,2808.0,,Bach's Minuet,0.0,,,Aaron Dunn,320000.0,,50.0,Classical,[5],[5],Public Domain,0.0,[],Minuet - Notebook for Anna Magdalena
955,54,2803.0,,Tomás Luis de Victoria's Unus Ex Discipulis Meis,0.0,Album,,Anonymous Choir,96000.0,,121.0,Classical,[5],[5],Public Domain,0.0,[],Unus Ex Discipulis Meis
956,55,2801.0,,Tomás Luis de Victoria's Amicus Meus,0.0,Album,,Anonymous Choir,96000.0,,166.0,Classical,[5],[5],Public Domain,0.0,[],Amicus Meus
957,56,2802.0,,Tomás Luis de Victoria's Caligaverunt Oculi Mei,0.0,Album,,Anonymous Choir,96000.0,,178.0,Classical,[5],[5],Public Domain,0.0,[],Caligaverunt Oculi Mei
958,57,2800.0,,Giovanni Croce's Cantato Domino,0.0,Album,,Anonymous Choir,96000.0,,134.0,Classical,[5],[5],Public Domain,0.0,[],Cantate Domino
959,58,2799.0,,Antonio Lotti's Missa,0.0,Album,,Anonymous Choir,96000.0,,174.0,Classical,[5],[5],Public Domain,0.0,[],Antonio Lotti's Missa (4v. C maj) - Kyrie
960,59,2796.0,,Mozart's Piano Sonata in B-flat Major,0.0,Album,,Brendan Kinsella,128000.0,,398.0,Classical,[5],[5],Public Domain,0.0,[],"Mozart - Piano Sonata in B-flat major, III. Allegretto Grazioso"
961,60,2795.0,,Bach's Aria Variata,0.0,Album,,Brendan Kinsella,128000.0,,427.0,Classical,[5],[5],Public Domain,1.0,"['piano', 'bach', 'classical', 'baroque']","Bach - Aria Variata, BWV 989 Variation no.1"
962,61,2795.0,,Bach's Aria Variata,0.0,Album,,Brendan Kinsella,128000.0,,230.0,Classical,[5],[5],Public Domain,2.0,"['piano', 'bach', 'classical', 'baroque']","Bach - Aria Variata, BVW. 989 - Variation No. 2"
963,62,2795.0,,Bach's Aria Variata,0.0,Album,,Brendan Kinsella,128000.0,,141.0,Classical,[5],[5],Public Domain,3.0,"['piano', 'bach', 'classical', 'baroque']","Bach - Aria Variata, BVW. 989 - Variation No. 3"
964,63,2797.0,,Mozart's Sonata No. 13 in B-flat Major,0.0,Album,,Brendan Kinsella,128000.0,,333.0,Classical,[5],[5],Public Domain,0.0,[],"Mozart - Sonata No. 13 In B Flat Major, K.333 - I. Allegro"
965,64,2797.0,,Mozart's Sonata No. 13 in B-flat Major,0.0,Album,,Brendan Kinsella,128000.0,,376.0,Classical,[5],[5],Public Domain,0.0,[],"Mozart - Sonata No. 13 In B Flat Major, K.333 - II. Andante Cantabile"
966,65,2794.0,,Beethoven's Sonata No. 31 in A Flat Major,0.0,Album,,Carlos Gardels,256000.0,,394.0,Classical,[5],[5],Public Domain,0.0,[],"Beethoven - Sonata No. 31 in A Flat Major, Op. 110 - I, Moderato cantabile molto espressivo"
967,66,2793.0,,Bach's Book I: Prelude and Fugue No. 8 in E Flat Minor,1.0,Album,,Carlos Gardels,256000.0,,214.0,Classical,[5],[5],Public Domain,1.0,[],"Bach - Book I: Prelude and Fugue No. 8 in E Flat Minor, BWV 853, Prelude"
968,67,2792.0,,"Franz Schubert's Fantasy in C major ""Wanderer""",0.0,Album,,Daniel Blanch,64000.0,,369.0,Classical,[5],[5],Public Domain,0.0,"['franz peter schubert', 'classical', 'piano']","Franz Schubert -  Fantasy in C major D.760 (op.15) ""Wanderer"" - I. Allegro con fuoco ma non troppo"
969,68,2792.0,,"Franz Schubert's Fantasy in C major ""Wanderer""",0.0,Album,,Daniel Blanch,64000.0,,429.0,Classical,[5],[5],Public Domain,0.0,"['franz peter schubert', 'classical', 'piano']","Franz Schubert - Fantasy in C major D.760 (op.15) ""Wanderer"" - II. Adagio"
970,69,2792.0,,"Franz Schubert's Fantasy in C major ""Wanderer""",0.0,Album,,Daniel Blanch,64000.0,,302.0,Classical,[5],[5],Public Domain,0.0,"['franz peter schubert', 'classical', 'piano']","Franz Schubert - Fantasy in C major D.760 (op.15) ""Wanderer"" - III. Presto"
971,70,2792.0,,"Franz Schubert's Fantasy in C major ""Wanderer""",0.0,Album,,Daniel Blanch,64000.0,,227.0,Classical,[5],[5],Public Domain,0.0,"['franz peter schubert', 'classical', 'piano']","Franz Schubert - Fantasy in C major D.760 (op.15) ""Wanderer"" - IV. Allegro"
972,71,2786.0,,Beethoven's Sonata No. 11 in B Flat Major,6.0,Album,,Daniel Veesey,320000.0,,402.0,Classical,[5],[5],Public Domain,4.0,[],Sonata No. 11 in B Flat Major  Op. 22 - IV. Rondo Allegretto
973,72,2786.0,,Beethoven's Sonata No. 11 in B Flat Major,6.0,Album,,Daniel Veesey,320000.0,,451.0,Classical,[5],[5],Public Domain,1.0,[],Sonata No. 11 in B Flat Major  Op. 22 - I. Allegro con brio
974,73,2786.0,,Beethoven's Sonata No. 11 in B Flat Major,6.0,Album,,Daniel Veesey,320000.0,,198.0,Classical,[5],[5],Public Domain,3.0,[],Sonata No. 11 in B Flat Major  Op. 22 - III. Minuetto
975,74,2786.0,,Beethoven's Sonata No. 11 in B Flat Major,6.0,Album,,Daniel Veesey,320000.0,,646.0,Classical,[5],[5],Public Domain,2.0,[],Sonata No. 11 in B Flat Major  Op. 22 - II. Adagio con molta espressione
976,75,2787.0,,Beethoven's Sonata No. 5 in C Minor,3.0,Album,,Daniel Veesey,320000.0,,346.0,Classical,[5],[5],Public Domain,0.0,[],"Sonata No. 05 in C Minor, Op. 10 No. 1 - I. Allegro molto e con brio"
977,76,2787.0,,Beethoven's Sonata No. 5 in C Minor,3.0,Album,,Daniel Veesey,320000.0,,514.0,Classical,[5],[5],Public Domain,0.0,[],"Sonata No. 05 in C Minor, Op. 10 No. 1 - II. Adagio molto"
978,77,2787.0,,Beethoven's Sonata No. 5 in C Minor,3.0,Album,,Daniel Veesey,320000.0,,270.0,Classical,[5],[5],Public Domain,0.0,[],"Sonata No. 05 in C Minor, Op. 10 No. 1 - III. Finale Prestissimo"
979,78,2791.0,,Beethoven's Sonata No. 7 in D Major,5.0,Album,,Daniel Veesey,320000.0,,180.0,Classical,[5],[5],Public Domain,0.0,[],"Sonata No. 07 in D Major, Op. 10 No. 3 - III. Menuetto Allegro"
980,79,2791.0,,Beethoven's Sonata No. 7 in D Major,5.0,Album,,Daniel Veesey,320000.0,,250.0,Classical,[5],[5],Public Domain,0.0,[],"Sonata No. 07 in D Major, Op. 10 No. 3 - IV. Rondo Allegro"
981,80,2791.0,,Beethoven's Sonata No. 7 in D Major,5.0,Album,,Daniel Veesey,320000.0,,402.0,Classical,[5],[5],Public Domain,0.0,[],"Sonata No. 07 in D Major, Op. 10 No. 3 - I. Presto"
982,81,2791.0,,Beethoven's Sonata No. 7 in D Major,5.0,Album,,Daniel Veesey,320000.0,,411.0,Classical,[5],[5],Public Domain,0.0,[],"Sonata No. 07 in D Major, Op. 10 No. 3 - II. Largo e mesto"
983,82,2810.0,,Beethoven's Sonata No. 8 in C Minor Pathetique,3.0,Album,,Daniel Veesey,320000.0,,269.0,Classical,[5],[5],Public Domain,3.0,[],"Sonata 8, 'Pathetique' - III. Rondo Allegro"
984,83,2810.0,,Beethoven's Sonata No. 8 in C Minor Pathetique,3.0,Album,,Daniel Veesey,320000.0,,384.0,Classical,[5],[5],Public Domain,1.0,[],"Sonata 8, 'Pathetique' - I. Grave - Allegro di molto e con brio"
985,84,2810.0,,Beethoven's Sonata No. 8 in C Minor Pathetique,3.0,Album,,Daniel Veesey,320000.0,,380.0,Classical,[5],[5],Public Domain,2.0,[],"Sonata 8, 'Pathetique' - II. Adagio cantabile"
986,85,2811.0,,Beethoven's Sonata No. 13 in E Flat Major,4.0,Album,,Daniel Veesey,320000.0,,341.0,Classical,[5],[5],Public Domain,0.0,"['piano', 'beethoven', 'classical', 'romanticism']","Sonata No. 13 in E Flat Major, Op. 27 No. 1 - IV. Allegro vivace - Tempo I - Presto"
987,86,2811.0,,Beethoven's Sonata No. 13 in E Flat Major,4.0,Album,,Daniel Veesey,320000.0,,360.0,Classical,[5],[5],Public Domain,0.0,"['piano', 'beethoven', 'classical', 'romanticism']","Sonata No. 13 in E Flat Major, Op. 27 No. 1 - I. Andante - Allegro - Tempo I"
988,87,2811.0,,Beethoven's Sonata No. 13 in E Flat Major,4.0,Album,,Daniel Veesey,320000.0,,135.0,Classical,[5],[5],Public Domain,0.0,"['piano', 'beethoven', 'classical', 'romanticism']","Sonata No. 13 in E Flat Major, Op. 27 No. 1 - II. Allegro molto e vivace"
989,88,2811.0,,Beethoven's Sonata No. 13 in E Flat Major,4.0,Album,,Daniel Veesey,320000.0,,209.0,Classical,[5],[5],Public Domain,0.0,"['piano', 'beethoven', 'classical', 'romanticism']","Sonata No. 13 in E Flat Major, Op. 27 No. 1 - III. Adagio con espressione"
990,89,2812.0,,Beethoven's Sonata No. 19 in G Minor,2.0,Album,,Daniel Veesey,160000.0,,221.0,Classical,[5],[5],Public Domain,0.0,[],"Sonata No. 19 in G Minor, Op. 49 No. 1 - II. Rondo  Allegro"
991,90,2812.0,,Beethoven's Sonata No. 19 in G Minor,2.0,Album,,Daniel Veesey,160000.0,,276.0,Classical,[5],[5],Public Domain,0.0,[],"Sonata No. 19 in G Minor, Op. 49 No. 1 - I. Andante"
1003,91,2875.0,,Beethoven's Sonata No. 20 in G Major,2.0,Album,,Daniel Veesey,320000.0,,237.0,Classical,[5],[5],Public Domain,0.0,[],"Sonata No. 20 in G Major, Op. 49 No. 2 - II. Tempo di menuetto"
1004,92,2875.0,,Beethoven's Sonata No. 20 in G Major,2.0,Album,,Daniel Veesey,320000.0,,298.0,Classical,[5],[5],Public Domain,0.0,[],"Sonata No. 20 in G Major, Op. 49 No. 2 - I. Allegro ma non troppo"
1005,93,2879.0,,Beethoven's Sonata No. 22 in F Major,2.0,Album,,Daniel Veesey,320000.0,,382.0,Classical,[5],[5],Public Domain,0.0,[],"Sonata No. 22 in F Major, Op. 54 - II. Allegretto"
1006,94,2879.0,,Beethoven's Sonata No. 22 in F Major,2.0,Album,,Daniel Veesey,320000.0,,374.0,Classical,[5],[5],Public Domain,0.0,[],"Sonata No. 22 in F Major, Op. 54 - I. In tempo dun Menuetto"
1008,95,2881.0,,Beethoven's Sonata No. 15 in D Major,4.0,Album,,Karine Gilanyan,160000.0,,398.0,Classical,[5],[5],Public Domain,0.0,"['classical', 'beethoven', 'piano', 'romanticism']","Beethoven - Piano Sonata nr.15 in D major op.28 ""Pastoral"" - I. Allegro"
1009,96,2881.0,,Beethoven's Sonata No. 15 in D Major,4.0,Album,,Karine Gilanyan,160000.0,,423.0,Classical,[5],[5],Public Domain,0.0,"['classical', 'beethoven', 'piano', 'romanticism']","Beethoven - Piano Sonata nr.15 in D major op.28 ""Pastoral"" - II. Andante"
1010,97,2881.0,,Beethoven's Sonata No. 15 in D Major,4.0,Album,,Karine Gilanyan,160000.0,,118.0,Classical,[5],[5],Public Domain,0.0,"['classical', 'beethoven', 'piano', 'romanticism']","Beethoven - Piano Sonata nr.15 in D major op.28 ""Pastoral"" - III. Scherzo. Allegro Vivace"
1011,98,2881.0,,Beethoven's Sonata No. 15 in D Major,4.0,Album,,Karine Gilanyan,160000.0,,297.0,Classical,[5],[5],Public Domain,0.0,"['classical', 'beethoven', 'piano', 'romanticism']","Beethoven - Piano Sonata nr.15 in D major op.28 ""Pastoral"" - IV. Rondo. Allegro ma non troppo"
1013,99,2884.0,,"Beethoven's Sonata No. 21 in C Major-""Waldstein'""",4.0,Album,,Michael Hawley,256000.0,,205.0,Classical,[5],[5],Public Domain,2.0,"['classical', 'romanticism', 'piano', 'beethoven', 'romantic era']","Sonata 'Waldstein', Op. 53 - II. Introduzione-Adagio molto"
1014,100,2884.0,,"Beethoven's Sonata No. 21 in C Major-""Waldstein'""",4.0,Album,,Michael Hawley,256000.0,,580.0,Classical,[5],[5],Public Domain,3.0,"['classical', 'romanticism', 'piano', 'beethoven', 'romantic era']","Sonata 'Waldstein', Op. 53 - III. Rondo-Allegretto moderato"
1015,101,2884.0,,"Beethoven's Sonata No. 21 in C Major-""Waldstein'""",4.0,Album,,Michael Hawley,256000.0,,651.0,Classical,[5],[5],Public Domain,1.0,"['classical', 'romanticism', 'piano', 'beethoven', 'romantic era']","Sonata No. 21 in C Major 'Waldstein', Op. 53 - I. Allegro con brio"
1016,102,2886.0,,"Edvard Grieg's Anitras Dance, Peer Gint Suite",1.0,Album,,Free Tim,128000.0,,207.0,Classical,[5],[5],Public Domain,33.0,[],Grieg's Anitra's Dance
1017,103,2889.0,,Franz Schubert's Ave Maria,1.0,Album,,Free Tim,128000.0,,326.0,Classical,[5],[5],Public Domain,0.0,[],Schubert's Ave Maria
1018,104,2891.0,,Sousa's Thunderer March,1.0,Album,,Free Tim,128000.0,,157.0,Classical,[5],[5],Public Domain,0.0,[],Sousa's Thunderer March
1019,105,2893.0,,Vivaldi's Spring from the Four Seasons,1.0,Album,,Free Tim,128000.0,,185.0,Classical,[5],[5],Public Domain,0.0,[],Vivaldo's Spring from the Four Seasons-Allegro
1020,106,2894.0,,Muzio Clementi's Sonata in G Minor-Didone Abbandonata,4.0,Album,,Nathan Eckel,130954.0,,315.0,Classical,[5],[5],Public Domain,2.0,[],"Sonata in G Minor, ""Didone Abbandonata"" op.50 no.3 - II. Adagio dolente"
1021,107,2894.0,,Muzio Clementi's Sonata in G Minor-Didone Abbandonata,4.0,Album,,Nathan Eckel,133534.0,,376.0,Classical,[5],[5],Public Domain,3.0,[],"Sonata in G Minor, ""Didone Abbandonata"" op.50 no.3 - III. Allegro agitato, e con disperazione"
1022,108,2894.0,,Muzio Clementi's Sonata in G Minor-Didone Abbandonata,4.0,Album,,Nathan Eckel,131550.0,,730.0,Classical,[5],[5],Public Domain,1.0,[],"Sonata in G Minor, ""Didone Abbandonata"" op.50 no.3 - I. Introduzione: Largo patetico e sostenuto - I. Allegro, ma con espressione"
1023,109,2895.0,,"Mozart's Rondo No. 3 in A minor, K. 511",1.0,Album,,David H. Porter,256000.0,,6.0,Classical,[5],[5],Public Domain,0.0,[],"Mozart's Rondo No. 3 in A Minor, K. 511"
1024,110,2896.0,,"Franz Schubert's Sonata in B Flat, D. 960",4.0,Album,,David H. Porter,256000.0,,6.0,Classical,[5],[5],Public Domain,0.0,"['classical', 'franz peter schubert', 'piano']","Schubert's Sonata in B Flat, D. 960 - I. Molto moderato.mp3"
1025,111,2896.0,,"Franz Schubert's Sonata in B Flat, D. 960",4.0,Album,,David H. Porter,256000.0,,482.0,Classical,[5],[5],Public Domain,0.0,"['classical', 'franz peter schubert', 'piano']","Schubert's Sonata in B Flat, D. 960 - II. Andante sostenuto"
1026,112,2896.0,,"Franz Schubert's Sonata in B Flat, D. 960",4.0,Album,,David H. Porter,256000.0,,220.0,Classical,[5],[5],Public Domain,0.0,"['classical', 'franz peter schubert', 'piano']","Schubert's Sonata in B Flat, D. 960 - III. Scherzo (Allegro vivace con delicatezza)"
1223,113,3338.0,,netBloc Vol. 22: Life on Ceres,11.0,Album,,Ambienteer,320000.0,,188.0,Electronic,[15],[15],Creative Commons Attribution,4.0,[],Ecclesia
1300,114,3554.0,,PraNatArthi haram,2.0,Album,,Veena Raja Rao and Veena Gopala Rao,192000.0,Mysore Vasudevacharya,402.0,International,"[86, 174]","[2, 174, 86]",Public Domain,1.0,[],Pranatarthi Haram
1301,115,3555.0,,Tribute to Veena Raja Rao,1.0,Album,,Veena Kinhal,128000.0,,273.0,International,"[86, 174]","[2, 174, 86]",Public Domain,1.0,[],Haratanaya Sree
1441,116,3893.0,Brian Turner,Live at WFMU on Brian Turner's show 7/21/2009,1.0,Radio Program,"Parts Unknown, S-S Records, Xerox Music",Billy Bao,256000.0,,2320.0,,"[1, 53]","[1, 38, 12, 45, 53]",Public Domain,1.0,[],Urban Disease
1518,117,4208.0,,"Paris, 2nd December 2007",3.0,Live Performance,,Volcano the Bear,160000.0,,2006.0,,"[1, 17, 38, 250]","[1, 250, 38, 17]",Creative Commons Attribution,0.0,[],vtb-paris pt 1
1519,118,4208.0,,"Paris, 2nd December 2007",3.0,Live Performance,,Volcano the Bear,160000.0,,1776.0,,"[1, 17, 38, 250]","[1, 250, 38, 17]",Creative Commons Attribution,0.0,[],vtb-paris pt 2
1679,119,4553.0,,Antique Phonograph Music Program 03/23/1999,15.0,Album,,Alice Lloyd,256000.0,,139.0,Old-Time / Historic,[8],[8],CC0 1.0 Universal,0.0,[],Young Men Lodgers
1680,120,13964.0,,Revitalize Music Contest,36.0,Album,,Billy Merson,256000.0,,159.0,,[],[],CC0 1.0 Universal,0.0,[],The Spaniard That Blighted My Life
1681,121,4553.0,,Antique Phonograph Music Program 03/23/1999,15.0,Album,,Billy Merson,256000.0,,136.0,Old-Time / Historic,[8],[8],CC0 1.0 Universal,0.0,[],They Can't Find Kelly
